Description,Domain,Type,Purpose,Domain Rating,Type Rating,Purpose Rating,Complexity
Graphic Design project involving logo design for website design.,Graphic Design,logo design,website design,5,10,16,31
Content Writing project involving white paper for branding campaigns.,Content Writing,white paper,branding campaigns,4,15,13,32
Web Development project involving Progressive Web App (PWA) for e-commerce platform.,Web Development,Progressive Web App (PWA),e-commerce platform,7,17,15,39
Artificial Intelligence project involving AI model development for financial analysis.,Artificial Intelligence,AI model development,financial analysis,10,18,16,44
Blockchain project involving smart contract development for payment gateway.,Blockchain,smart contract development,payment gateway,9,18,18,45
Digital Marketing project involving SEO strategy for content marketing.,Digital Marketing,SEO strategy,content marketing,6,13,13,32
Cybersecurity project involving vulnerability assessment for user authentication.,Cybersecurity,vulnerability assessment,user authentication,9,15,16,40
Audio and Music Production project involving jingle production for audio content for podcasts.,Audio and Music Production,jingle production,audio content for podcasts,6,12,12,30
Blockchain project involving NFT platform for digital assets.,Blockchain,NFT platform,digital assets,9,17,19,45
Content Writing project involving press release for company updates.,Content Writing,press release,company updates,4,12,11,27
IT Support and Maintenance project involving software updates and patches for incident response.,IT Support and Maintenance,software updates and patches,incident response,6,10,16,32
Audio and Music Production project involving music mixing and mastering for social media content.,Audio and Music Production,music mixing and mastering,social media content,6,17,13,36
Mobile App Development project involving Native app for e-commerce.,Mobile App Development,Native app,e-commerce,8,17,15,40
Virtual Assistance project involving email and calendar management for research and reporting.,Virtual Assistance,email and calendar management,research and reporting,4,7,7,18
Artificial Intelligence project involving chatbot development for autonomous vehicles.,Artificial Intelligence,chatbot development,autonomous vehicles,10,17,20,47
Graphic Design project involving infographic design for print media.,Graphic Design,infographic design,print media,5,12,12,29
Digital Marketing project involving social media campaign for website traffic optimization.,Digital Marketing,social media campaign,website traffic optimization,6,10,12,28
Graphic Design project involving poster design for portfolio showcase.,Graphic Design,poster design,portfolio showcase,5,11,9,25
Cybersecurity project involving malware analysis for system hardening.,Cybersecurity,malware analysis,system hardening,9,19,17,45
UI/UX Design project involving accessibility compliance for accessibility improvements.,UI/UX Design,accessibility compliance,accessibility improvements,6,17,17,40
Data Science project involving Machine learning model for financial analysis.,Data Science,Machine learning model,financial analysis,9,20,15,44
Video Editing project involving animation for documentary.,Video Editing,animation,documentary,5,18,18,41
Graphic Design project involving social media graphics for product packaging.,Graphic Design,social media graphics,product packaging,5,13,14,32
Content Writing project involving press release for company updates.,Content Writing,press release,company updates,4,12,11,27
Video Editing project involving sound editing for corporate video.,Video Editing,sound editing,corporate video,5,13,13,31
